Other Songs I Know	Artists	ID	ExCol
Domo23	Tyler, The Creator	Wolf	spotify:track:75kiQfmmuQwgquZ9RLSvuA
Purple Pills	D12	Devils Night	spotify:track:5IweeQZdY5XEzStLzUJG5t
Loyal (East Coast Version)	Chris Brown, Lil Wayne, French Montana	Loyal (East Coast Version)	spotify:track:3JsPQbdGRRN6C7n8OsNTnj
Jimmy Iovine (feat. Ab-Soul)	Macklemore & Ryan Lewis, Ab-Soul	The Heist	spotify:track:0YK9R8B6egIwlbg7L7yvAX
Heavy Crown	Iggy Azalea, Ellie Goulding	Reclassified	spotify:track:1FO03aL21QcvllpoCMN4kM
In Da Club	50 Cent	SHADYXV	spotify:track:0AoBYHF2GvkuEegYVhlx5y
Role Model	Eminem	The Slim Shady LP (Explicit)	spotify:track:4k9bhTxqK5nyio2v9flKyN
Addicted To You	Avicii	True	spotify:track:5GayeBzzXIEl6fY0cP42Z1
Drunk in Love Remix (feat. Jay-Z & Kanye West)	Beyoncé, JAY-Z, Kanye West	BEYONCÉ [Platinum Edition]	spotify:track:0FZmAvivvifvtN3pZScbw1
Desperation	Eminem, Jamie N Commons	The Marshall Mathers LP2 (Deluxe)	spotify:track:01zPnSlKCw9WLbY0kvNep0
Lifestyle	Rich Gang, Young Thug, Rich Homie Quan	Lifestyle	spotify:track:7DTlsMOQjGysXHpwwpHuPl
Neon Cathedral (feat. Allen Stone)	Macklemore & Ryan Lewis, Allen Stone	The Heist	spotify:track:4J54LTDxhKvYwAtpnK7ZC3
Bad Meets Evil	Eminem, Royce Da 5'9"	The Slim Shady LP (Explicit)	spotify:track:3EP4ukSzIRqm3Tt3ECbSXo
I’m On Everything	Bad Meets Evil, Mike Epps	Hell: The Sequel (Deluxe)	spotify:track:3qBxoudRLiLbFl7Ansz1Uh
Bounce	Iggy Azalea	The New Classic (Deluxe Version)	spotify:track:2Xww9T8qeCBliq3EYRkmlR
White America	Eminem	The Eminem Show	spotify:track:15qrWkkYCfmtu1uRpGf48L
Gold (feat. Eighty4 Fly)	Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Eighty4 Fly	The Heist	spotify:track:051urfGQsQOQXSbjIumG9v
Mosh	Eminem	Encore (Deluxe Version)	spotify:track:07EHYORZMFGlBdI5zIB7lp
She Came II Give It II U (feat. Nicki Minaj)	Usher, Nicki Minaj	She Came II Give It II U (feat. Nicki Minaj)	spotify:track:0kF6MdXhjQeYhZ2kogCIsx
Library Pictures	Arctic Monkeys	Suck It and See	spotify:track:0LIP2uUWKwfJhJBoxU7PSz
Can't Tell Me Nothing	Kanye West	Graduation	spotify:track:4ImL3v98u2BLkwnyQDjfRm
Don't Panic	French Montana	Don't Panic	spotify:track:38y8KrYj7sIdrlnYHdiM9C
Runnin'	Nico & Vinz	Black Star Elephant	spotify:track:2jiqQ83AkwFjXK3VhGT5bc
C’mon Let Me Ride	Skylar Grey, Eminem	Don't Look Down	spotify:track:7hhvmWOPWNBW72eXTNnVAD
Living Proof	Bad Meets Evil	Hell: The Sequel (Deluxe)	spotify:track:6amCeNhEjgxBlWkwgmdboa
Superman	Eminem, Dina Rae	The Eminem Show	spotify:track:4woTEX1wYOTGDqNXuavlRC
Ms. Jackson	Outkast	Stankonia	spotify:track:0I3q5fE6wg7LIfHGngUTnV
Every Teardrop Is A Waterfall (Coldplay Vs. Swedish House Mafia)	Coldplay, Swedish House Mafia	Until Now	spotify:track:5J8m6w5VmswbMBYUAFf44t
Big Weenie	Eminem	Encore (Deluxe Version)	spotify:track:4dh34dyav8M5jCN3yidn8Z
Hotel Room Service	Pitbull	Pitbull Starring In Rebelution	spotify:track:6Rb0ptOEjBjPPQUlQtQGbL
Up Down (Do This All Day) (feat. B.o.B)	T-Pain, B.o.B	Up Down (Do This All Day) (feat. B.o.B)	spotify:track:1uH1Nd8vet2uoZSDFSDwbh
Miracles	Nico & Vinz	Black Star Elephant	spotify:track:7M1fYEG1pu4w9c3VWdv31e
Too Little, Too Late	JoJo	The High Road	spotify:track:6EEeAog1VBZ6FrYpJ2q3WF
Go Baby (feat. GemStones)	Lupe Fiasco, Gemstones	Lupe Fiasco's The Cool	spotify:track:0QtbNh8K4XVc7SPahj3uVK
Kanye	The Chainsmokers, sirenXX	Kanye	spotify:track:5brMyscUnQg14hMriS91ks
Mess Is Mine	Vance Joy	Dream Your Life Away	spotify:track:7BVwi9cIzSc6tpyxsp47vJ
Take Back the Night	Justin Timberlake	The 20/20 Experience - The Complete Experience	spotify:track:4KQYJpdXn2n9thGLga3ACl
Baby I	Ariana Grande	Yours Truly	spotify:track:6EIsMa5lbvljYxqCkjZVDi
The Die (feat. GemStones)	Lupe Fiasco, Gemstones	Lupe Fiasco's The Cool	spotify:track:15Y3wFvRKbbnxrsCALs8AH
Hey Ya!	Outkast	Speakerboxxx/The Love Below	spotify:track:2PpruBYCo4H7WOBJ7Q2EwM
The Emperor's Soundtrack	Lupe Fiasco	Lupe Fiasco's Food & Liquor	spotify:track:0AFI1ey6NJ6HmUnskmUABD
Take From Me	Bad Meets Evil	Hell: The Sequel (Deluxe)	spotify:track:7n4PRAJjYzGFr1DR3KHYMU
ShadyXV	Eminem	SHADYXV	spotify:track:757lWi81eSRf0wYT42eu5e
The Reunion	Bad Meets Evil	Hell: The Sequel (Deluxe)	spotify:track:4TsDmh8jtTMdaa7UP3gxAR
Express Yourself	N.W.A.	Straight Outta Compton (2002 - Remaster)	spotify:track:68YdZEkdaoXQTHRsxzS2Kq
Know What I'm Not	Nico & Vinz	Black Star Elephant	spotify:track:1oCtZvhY1kdm6lz16MQECA
We In This Bitch	Iggy Azalea	Reclassified	spotify:track:258I8rSotwyIwnfMkwJuCJ
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)	David Guetta, Afrojack, Bebe Rexha, Nicki Minaj	Listen (Deluxe)	spotify:track:5b2bu6yyATC1zMXDGScJ2d
Introducing Me	Nick Jonas	Camp Rock 2: The Final Jam	spotify:track:2y8rZoB5iJBt233kASCihn
11:11	Austin Mahone	11:11	spotify:track:5V6WPKzDd2qxMTVw3Wsbyx
Pour It Up	Rihanna	Unapologetic (Deluxe)	spotify:track:76VtA90NKurNqaQpV126Ue
Hot In Herre	Nelly	6 Pack (Explicit Version)	spotify:track:6BFy7jDjmBIero9RvFyiFR
Cold Wind Blows	Eminem	Recovery	spotify:track:3Tj1luJyKPQt7WbrqpJ2Az
Bend Ova (feat. Tyga)	Lil Jon, Tyga	Bend Ova (feat. Tyga)	spotify:track:35x6JdLCr4VWWR5ShNoAWo
Party Up (Up in Here) - Re-Recorded	DMX	Greatest Hits with a Twist - Deluxe Edition	spotify:track:4XSgaQfGgJ9FDCcvmOe404
Pumpin Blood	NONONO	Pumpin Blood	spotify:track:3dNcq4dzEtbFUM4PGeHHXp
Where Do Broken Hearts Go	One Direction	FOUR (Deluxe)	spotify:track:6HFywc5eQYRRYHYTatCb5Y
Geronimo	Sheppard	Geronimo	spotify:track:21Go4aMyLGP40ANI3TU0Fn
Rock That Body	Black Eyed Peas	THE E.N.D. (THE ENERGY NEVER DIES)	spotify:track:5K5LbSTVuKKe1KGMNfBgIW
Don't - Rick Ross Remix	Ed Sheeran, Rick Ross	Don't	spotify:track:49WNdS1zw5NjaqMNEARcWO
Rhyme Or Reason	Eminem	The Marshall Mathers LP2 (Deluxe)	spotify:track:45JxylFwaThjLsRBuzcfoL
Red Nose	Sage The Gemini	Remember Me	spotify:track:5LwhsMkPYUfhCy4urJyTpn
Clique	Kanye West, JAY-Z, Big Sean	Clique	spotify:track:3rbNV2GI8Vtd8byhUtXZID
Stockholm Syndrome	One Direction	FOUR (Deluxe)	spotify:track:6AzCBeiDuUXGXjznBufswB
Vegas	Bad Meets Evil	SHADYXV	spotify:track:0IG21pqbOajmplCfaWNJua
Not On Drugs	Tove Lo	Queen Of The Clouds	spotify:track:2zbHn4d6tUNQNSLAwS813T
Trouble	Iggy Azalea, Jennifer Hudson	Reclassified	spotify:track:3MPZOtMvBoxAIRUkgux87d
Tumblr Girls (feat. Christoph Andersson)	G-Eazy, Christoph Andersson	These Things Happen	spotify:track:4Fv6wNYUixnYkj3Dgfrls8
0 To 100 / The Catch Up	Drake	0 To 100 / The Catch Up	spotify:track:0mkjekH9rwp4Fg5PxzUTrd
Beautiful	Eminem	Relapse	spotify:track:7DDxxhExUBH53SFJqXDz4i
Down	Yelawolf	SHADYXV	spotify:track:49A0sf7kmHwIDY9iX9m6Jn
Not for Long (feat. Trey Songz)	B.o.B, Trey Songz	Not for Long (feat. Trey Songz)	spotify:track:6H75Ki32BRrJFQeDNR05s1
Follow Me Down	3OH!3, Neon Hitch	Almost Alice Deluxe	spotify:track:2FFacXrPdJSPHopIathvd1
When the Day Comes	Nico & Vinz	Black Star Elephant	spotify:track:0P2HAFu7RnkfPnkimNi7I5
Thrift Shop	Tyler Ward, Lindsey Stirling	1 Original, ONE Cover	spotify:track:0EYKD5N0mldDeVTCzCfzqr
It's Gonna Be Me	*NSYNC	No Strings Attached	spotify:track:2AW37v0bDyuOzGP3XnmFuA
Gin And Juice (feat. Dat Nigga Daz)	Snoop Dogg, Daz Dillinger	Doggystyle	spotify:track:0WKYRFtH6KKbaNWjsxqm70
Dirt Off Your Shoulder	JAY-Z	The Black Album	spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm
Bobby Bitch	Bobby Shmurda	Bobby Bitch	spotify:track:6j8lAie0mdUNreql5d5Ejz
3 a.m.	Eminem	Relapse	spotify:track:5XPtxe7eKdHt3vWJcUawYj
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz)	Juicy J, Lil Wayne, 2 Chainz	Stay Trippy	spotify:track:7EZPH9Px3gXlxD5KJDwtwc
Get Lucky (feat. Pharrell Williams & Nile Rodgers)	Daft Punk, Pharrell Williams, Nile Rodgers	Random Access Memories	spotify:track:69kOkLUCkxIZYexIgSG8rq
Drunk On A Plane	Dierks Bentley	RISER	spotify:track:1soxUgYIZb1qx1c7o1Lc7z
American Kids	Kenny Chesney	The Big Revival	spotify:track:1dgWTMoHwTUnQhOQ8SR5fV
Put 'Em Up	Lupe Fiasco	Food & Liquor II: The Great American Rap Album, Pt. 1	spotify:track:0kI0IrC7ljxnPXbgbk7hxn
Wildcat	Ratatat	Classics	spotify:track:4EBisBBehGON4ESJsNZBsP
Encore/Curtains Down	Eminem	Encore (Deluxe Version)	spotify:track:2cm5JHPVzXyrWPtIZZi1Gh
Jealous - Remix	Nick Jonas, Tinashe	Jealous (Remix)	spotify:track:6erZDIGMbZG8lCllaxzZ19
Victory Lap	Macklemore & Ryan Lewis	The Heist (Deluxe Edition)	spotify:track:281Bg1rYpaFuDLrMZ9EpqL
Digital Witness	St. Vincent	St. Vincent	spotify:track:5L16tlSHNt93RiiRiCc8ya
Gas Pedal	Sage The Gemini, Iamsu!	Remember Me	spotify:track:6FVu3uUSjQ54yOF1tVfIOn
Put You on Game	Lupe Fiasco	Lupe Fiasco's The Cool	spotify:track:5PlYCPa9eV21gJcK5cQiZi
Lady Killers (feat. Hoodie Allen)	G-Eazy, Hoodie Allen	Must Be Nice	spotify:track:4HnPZXkx15Y5hfBWh9vtQL
Hot N*gga	Bobby Shmurda	Hot N*gga	spotify:track:19gEmPjfqSZT0ulDRfjl0m
All of Me - Tiësto's Birthday Treatment Remix - Radio Edit	John Legend, Jason Agel, Tiësto	All of Me (Tiësto's Birthday Treatment Remix - Radio Edit)	spotify:track:1mzGywacjpeik00PVLBPpF
Flawless Remix (feat. Nicki Minaj)	Beyoncé, Nicki Minaj	BEYONCÉ [Platinum Edition]	spotify:track:0zVMzJ37VQNFUNvdxxat2E
Delirious (Boneless) (feat. Kid Ink)	Steve Aoki, Chris Lake, Tujamo, Kid Ink	Neon Future I	spotify:track:2SSFvQBwsxeazzo7z5l9gD
Coming Up (feat. MDMA)	Lupe Fiasco, MDMA	Lasers	spotify:track:2W02Y5zdSzNsTMqP7GJ4Hr
Let's Get Lost (feat. Devon Baldwin)	G-Eazy, Devon Baldwin	These Things Happen	spotify:track:5DSr1NMci58MEgS20vivSL
Lazaretto	Jack White	Lazaretto	spotify:track:3T76zPJz3tWL27FrjJe2ot
Ill Mind of Hopsin 7	Hopsin	Ill Mind of Hopsin 7	spotify:track:4E9oMuvzEsS2T9hdxWBwPQ
Radioactive	Pentatonix, Lindsey Stirling	Radioactive	spotify:track:6vGVf8K3ri7VfkCj6PtZRy
Say I Won't	Lecrae, Andy Mineo	Anomaly	spotify:track:1B3wni0sggmsNEj9ElSNBv
Just Might Be OK (feat. Gemini)	Lupe Fiasco, Gemini	Lupe Fiasco's Food & Liquor	spotify:track:49mu0ewiqzCYPGY3IEtNad
Summer	Calvin Harris	Motion	spotify:track:6YUTL4dYpB9xZO5qExPf05
Aston Martin Music	Rick Ross, Drake, Chrisette Michele	Teflon Don	spotify:track:5W7xC99N2Zzfh69r7I7zWK
All The Right Moves - Danger Remix	OneRepublic	All The Right Moves (Remixes)	spotify:track:0Dmbwi3x2XMc85Cbm4z60T
Can't Remember to Forget You	Shakira, Rihanna	Shakira. (Deluxe Version)	spotify:track:4Uc6BcPeBKfZUlX6jhumGv
Blurred Lines	Robin Thicke, T.I., Pharrell Williams	Blurred Lines (Deluxe)	spotify:track:0Rz1KXsP4bhGxs0ffySSSn
Stay The Night - Featuring Hayley Williams Of Paramore	Zedd, Hayley Williams	Clarity (Deluxe)	spotify:track:1o4XQ7tYJrDxgEpJufbOI8
Ain't It Fun	Paramore	Paramore	spotify:track:1j8z4TTjJ1YOdoFEDwJTQa
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)	A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar	LONG.LIVE.A$AP (Deluxe Version)	spotify:track:4XoP1AkbOurU9CeZ2rMEz2
Poor Decisions (feat. Rick Ross & Lupe Fiasco)	Wale, Lupe Fiasco, Rick Ross	Poor Decisions (feat. Rick Ross and Lupe Fiasco)	spotify:track:621B4BwzFtqFh8ELO2erNc
Na Na	Trey Songz	Trigga (Deluxe)	spotify:track:07wk7gOL46W63TNxCxwATE
Seen It All	Jeezy, JAY-Z	Seen It All: The Autobiography	spotify:track:0jkeRqlWciqKxU3iHQfdWj
Rehab	Amy Winehouse	Back To Black	spotify:track:1EXAqr4fceDPYlL6XeMi2g
Back to Bama	Yelawolf	Arena Rap EP	spotify:track:6glKjytC9d79KqBNS5dKam
I'm Ready	AJR	I'm Ready - EP	spotify:track:02ILwrgX3DDx9mclP2EI41
About the Money (feat. Young Thug)	T.I., Young Thug	About the Money (feat. Young Thug)	spotify:track:1hzJQIkgXwZevaKsc7iA6D
Bad Day	Chiddy Bang	The Preview	spotify:track:04pVM8MuDl8Cv4AcD7Ceu0
Acapella	Karmin	Pulses	spotify:track:6RjW45KHJ6kgI2xQ1aFa52
Can't Stop (feat. Kanye West)	Theophilus London, Kanye West	Vibes	spotify:track:0LTeRenZwVsyxFWe7rP2rT
Girl On Fire	Alicia Keys	Girl On Fire	spotify:track:6qOEjO2IUD7PjtpsXawq0d
If I Ain't Got You	Alicia Keys	The Diary Of Alicia Keys	spotify:track:3XVBdLihbNbxUwZosxcGuJ
Baby Got Back	Sir Mix-A-Lot	Mack Daddy	spotify:track:4vvOv6MDFFPpEb1gwwb2ZD
S&M	Rihanna	Loud	spotify:track:08Bfk5Y2S5fCxgxk371Eel
Somethin' Bad (with Carrie Underwood) - Duet with Carrie Underwood [Album]	Miranda Lambert, Carrie Underwood	Platinum	spotify:track:6s9m5J92By7jii22Q2XtY2
It's a Good Life	KONGOS	Lunatic	spotify:track:0ZZqUa7p6WZn8v70Pl4PiO
Ulysses	Franz Ferdinand	Tonight: Franz Ferdinand	spotify:track:1SXP53Ue7P7ZBiDeRUG9H4
Money On My Mind	Sam Smith	In The Lonely Hour (Deluxe Edition)	spotify:track:3PRLM4FzhplXfySa4B7bxS
You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign)	Wiz Khalifa, Snoop Dogg, Ty Dolla $ign	You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign)	spotify:track:0YZn9bdLfX7NW1S7t2TCqs
Seventeen Years	Ratatat	Ratatat	spotify:track:1LytkZ67Tquo5A5TyzqVcZ
Crazy Lucky	Better Than Ezra	Crazy Lucky	spotify:track:13Eqzwm4oyevLOeS6Twm8w
Say Hey (I Love You)	Michael Franti & Spearhead, Cherine Anderson	All Rebel Rockers	spotify:track:2SwkHQpyK3Tq11RtJjQhJY
Hey I Don't Know	KONGOS	Lunatic	spotify:track:66UTXtMAmhq5EpFJttD8rq
Try Me	DeJ Loaf	Try Me	spotify:track:2CY92qejUrhyPUASawNVRr
Bad (feat. Vassy) - Radio Edit	David Guetta, Showtek, VASSY	Lovers on the Sun EP	spotify:track:1Nivqu7wynKsgguBmgC6Vw
Throw Sum Mo	Rae Sremmurd, Nicki Minaj, Young Thug	Throw Sum Mo	spotify:track:3F9oxHGHxFCWpVk9T2AxOS
Vava Voom	Bassnectar, Lupe Fiasco	Vava Voom	spotify:track:0fTFmyy8AwWHiRoDgTh80w
London Queen	Charli XCX	London Queen	spotify:track:3LxwmEQzC3q1XrwX7OTq7x
Party (feat. André 3000)	Beyoncé, André 3000	4	spotify:track:42qh86p7TLXyumxSHn65kc
Freaks	French Montana, Nicki Minaj	Excuse My French	spotify:track:29r4I5RTxDR440DkqhbD9s
Break the Rules - Tiësto Remix	Charli XCX, Tiësto	Break the Rules (Remixes)	spotify:track:4YfyFFQT3C2DmJAO8bZPRy
Turn Down for What	DJ Snake, Lil Jon	Turn Down for What	spotify:track:67awxiNHNyjMXhVgsHuIrs
Start A Fire	Lil Wayne, Christina Milian	Start A Fire	spotify:track:0XGzaSwfv1kI2z8f32Of6L
Ugly Heart	G.R.L.	G.R.L.	spotify:track:3qqho4PnTn3zlMPBzWhFFD
Time of Our Lives	Pitbull, Ne-Yo	Globalization	spotify:track:2bJvI42r8EF3wxjOuDav4r
Talkin’ 2 Myself	Eminem, Kobe Honeycutt	Recovery	spotify:track:66h8hB4In6t725WtAPL23J
Twisted	Skylar Grey, Eminem, Yelawolf	SHADYXV	spotify:track:4bfWSQpr4hkR3QTRtWS0pJ
Brimstone	Rick Ross, Big K.R.I.T.	Hood Billionaire (Deluxe)	spotify:track:00TZSDBB76Tna39wd8OmnD
Here's to Never Growing Up	Avril Lavigne	Here's to Never Growing Up	spotify:track:0rqCCH30sxXPlMYoo2mk2A
Sail - Tde Remix Featuring Kendrick Lamar & Ab Soul	AWOLNATION	Megalithic Symphony Deluxe	spotify:track:62DDZO6qytqQj7VCTwosOF
I Got U	Duke Dumont, Jax Jones	I Got U	spotify:track:4r8hRPbidDIoDPphxi78aY
Calm Down 3.0 (feat. Everlast)	Busta Rhymes, Everlast	Calm Down: The Clash EP	spotify:track:6iPiouYygoOvw3nFKdgPPG
Far Alone (feat. E-40 & Jay Ant)	G-Eazy, E-40, Jay Anthony	These Things Happen	spotify:track:7f1M8ElwbsDozUiWkoAN3I
Burnin' Up	Jessie J, 2 Chainz	Sweet Talker (Deluxe Version)	spotify:track:2f8FHYOkBjxnNxBWXWBpsG
King Of The South	Big K.R.I.T.	Cadillactica (Deluxe)	spotify:track:58Jcftr5PvnPK2Kj2z4hK6
The Next Episode	Dr. Dre, Snoop Dogg	2001 (Explicit Version)	spotify:track:20LxTsa6936zOlzTWqoPVt
What's The Difference	Dr. Dre, Eminem, Xzibit	2001	spotify:track:1SWVDBtw6h3tm9OehOkDhv
Another Night	Mac Miller	On And On And Beyond	spotify:track:4kCvpSVa2XQUiarE7EE5Fs
I'm Like A Bird	Nelly Furtado	Whoa, Nelly!	spotify:track:2tP7ZekzXfduShx8C6cbll
Wet Dreamz	J. Cole	2014 Forest Hills Drive	spotify:track:6Ius4TC0L3cN74HT7ENE6e
The Feeling	Jessie Andrews	In Motion	spotify:track:4I37Sb7lI4gW6zNtTuBpA9
Knock Knock	Mac Miller	Knock Knock - Single	spotify:track:3uYm4MtU6jUQft2DtGqEoZ
All The Right Moves - Dave Aude Club Remix	OneRepublic	All The Right Moves (Remixes)	spotify:track:3DekvqLfkmINkzhn4MpkLr
Previously On Other People's Heartache...	Bastille	All This Bad Blood	spotify:track:0yCVf4eGqNQDLxgv8jdxvn
El Bajo	Milk, Poeta Callejero, Eptos Uno	Milkstape	spotify:track:32RaC7s9cooxbEimsOKlub
My Sub Pt. 3 (Big Bang)	Big K.R.I.T.	Cadillactica (Deluxe)	spotify:track:6l5pIyWdI4zE4yWzI9XIW0
Animals - Extended	Martin Garrix	Animals (Extended)	spotify:track:6JEntXLt4z98CcDtIH9sU7
Hunnid Stax (feat. ScHoolboy Q)	Ab-Soul, ScHoolboy Q	These Days...	spotify:track:6q4P5GViMZJfgpfNVr5txY
The Never (feat. LV Baby)	Pell	Floating While Dreaming	spotify:track:1klDxguZO5yyksZzmdCDK7
Smile Back	Mac Miller	Blue Slide Park	spotify:track:2ZGBhrxA4ghKqoOMBdn966
Spark The Fire	Gwen Stefani	Spark The Fire	spotify:track:7jmRaRTtDMhV6Yh9KuEHsp
When I'm Gone	Eminem	Curtain Call: The Hits	spotify:track:18TtVZgD09HpU7lUXR0kPI
American Terrorist (feat. Matthew Santos)	Lupe Fiasco, Matthew Santos	Lupe Fiasco's Food & Liquor	spotify:track:17dRP50Rx5DdSH9Qy4xR9A
Tuesday (feat. Drake)	ILOVEMAKONNEN, Drake	Tuesday (feat. Drake)	spotify:track:2znzyzlAUc8Z1Ikq9aFOcx
Big Daddy	Nicki Minaj, Meek Mill	The Pinkprint (Deluxe)	spotify:track:7spxYjVBMBaL7HIrpKJCVc
What Child Is This	Vince Guaraldi Trio	A Charlie Brown Christmas [2012 Remastered & Expanded Edition]	spotify:track:0LP2DlqqEH5Lo0ujWdHkUD
Pay Attention	Big K.R.I.T., Rico Love	Cadillactica (Deluxe)	spotify:track:17fBFaNXCShZrQ3zKIi94F
My Love	Route 94, Jess Glynne	My Love	spotify:track:0idc0XRnLRovVqpWnGQ6hC
Need U (100%) - Radio Edit	Duke Dumont, A*M*E	Need U (100%) [feat. A*M*E] [Remixes]	spotify:track:1irISaSn1NUAk8vCku3eBp
U-Huh	Tkay Maidza	U-Huh	spotify:track:4MNXd02UoedGBU1IkjRLcy
I Need Help	Hopsin	Knock Madness	spotify:track:7n1y18wPhZv5YxpR6nFBck
You're Never Fully Dressed Without a Smile (2014 Film Version)	Sia	You're Never Fully Dressed Without a Smile (2014 Film Version)	spotify:track:0IjQeHaDwRljTnROP955YG
Just Don't Give A Fuck	Eminem	The Slim Shady LP (Explicit)	spotify:track:1XkPiz7S5r7DL826EJH4a6
Favorite	Nicki Minaj, Jeremih	The Pinkprint (Deluxe)	spotify:track:0Rn35uVnV5Q1S1DM8NBhSr
Jealous (I Ain't With It)	Chromeo	Jealous (I Ain't With It)	spotify:track:3pVbA69fLbVMwEv7ESCTm5
It's Christmas Time	Smokey Robinson & The Miracles, Kevin Ross	Motown Christmas	spotify:track:1HgeO4xA3TohHKGC02TbVA
Gold	Imagine Dragons	Gold	spotify:track:4Z1WUYEO47LPbsV3WchCyP
It Gets Better	The Preatures	Blue Planet Eyes	spotify:track:1KK6wwUwqviV2UrEjJXK7v
Fight Music	D12	Devils Night	spotify:track:3vBv2Tp0kHyBDUBZJr9GXQ
Good Life - Demolition Crew Remix	OneRepublic	Ultra Dance 13	spotify:track:0clHtZfIeK6r3hI6oOLRzT
Diced Pineapples	Rick Ross, Wale, Drake	God Forgives, I Don't (Deluxe Edition)	spotify:track:27mF2eUbhExYWiOT0y9cuc
Fireball (feat. John Ryan)	Pitbull, John Ryan	Fireball (feat. John Ryan)	spotify:track:49eplIHvgCLY8HAgcaWrUb
As The World Turns	Eminem	The Slim Shady LP (Explicit)	spotify:track:3jrWmFO9UI8cMV8pWY2O0z
IV. Sweatpants	Childish Gambino	Because The Internet	spotify:track:2rmq49FcJ4U3wh1Z7C9UxE
Paradise	Big Sean	Paradise	spotify:track:5se6K8sonaVJGu1mjj6ItC
Cry Me a River	Justin Timberlake	Justified	spotify:track:7Lf7oSEVdzZqTA0kEDSlS5
Under Stars	AURORA	Under Stars	spotify:track:1GuG5d1HJAkfVKANwPgJbF
Sway - Chainsmokers Remix	Anna of the North	Sway (Chainsmokers Remix)	spotify:track:08qjPXZBdEyif5PxU2AY9S
Hardcore	Spain, DeJ Loaf	Hardcore	spotify:track:0f8a6FAGGzRa4ZYqk1C1iK
Dirty Picture	Taio Cruz, Kesha	Rokstarr	spotify:track:7s4USejbr9Kqj7PpG8Yh6J
Good Kisser	Usher	Good Kisser	spotify:track:3CX3WMBg6lzWk72bYL29vP
Blow Remix (feat. Pharrell Williams)	Beyoncé, Pharrell Williams	BEYONCÉ [Platinum Edition]	spotify:track:0GjDYSp1bNyjggwPadwlyf
Drop The World	Lil Wayne, Eminem	Rebirth (Deluxe)	spotify:track:7jvsQazXEC6mCwVjeAl5AJ
7/11	Beyoncé	BEYONCÉ [Platinum Edition]	spotify:track:1A7QIlETJSCFXzyp3cSbak
Basket Case	Green Day	Dookie	spotify:track:6L89mwZXSOwYl76YXfX13s
Fight Night	Migos	No Label II	spotify:track:2n5gVJ9fzeX2SSWlLQuyS9
American Idiot	Green Day	American Idiot	spotify:track:6nTiIhLmQ3FWhvrGafw2zj
Theme Music to a Drive-By	Lupe Fiasco	Lupe Fiasco's Food & Liquor (5th Anniversary Edition; Deluxe Edition)	spotify:track:7H6u9SimoAxwTNCGik21VQ
HeadBand (feat. 2 Chainz)	B.o.B, 2 Chainz	Underground Luxury	spotify:track:2LvRR121MWFmmEGkuV2vQP
So Far...	Eminem	The Marshall Mathers LP2 (Deluxe)	spotify:track:0nzsCN9rtXdugPoiIT49Kj
Believe Me	Lil Wayne, Drake	Believe Me	spotify:track:6t2eIONH4Sax3R21QWiKNp
Collard Greens	ScHoolboy Q, Kendrick Lamar	Oxymoron (Deluxe)	spotify:track:0zO8ctW0UiuOefR87OeJOZ
Mozart: Eine kleine Nachtmusik, K. 525: II. Romance. Andante	Wolfgang Amadeus Mozart, Sir Neville Marriner, Academy of St. Martin in the Fields	Mozart: Eine Kleine Nachtmusik etc.	spotify:track:3YPgZvBPN3d4yxtijMhBMN
Iggy SZN	Iggy Azalea	Iggy SZN	spotify:track:32aljvV3J1ZOxkXFnMtLud
My 1st Single	Eminem	Encore (Deluxe Version)	spotify:track:1dFnMC9NlHVUE4rlT5vr83
Regulate	Warren G, Nate Dogg	Regulate… G Funk Era	spotify:track:7nYvUtkQMx1v80S2FH2s9J
Rise (feat. Skylar Grey)	David Guetta	Listen (Deluxe)	spotify:track:03EFRRLX44QMmMhgobkcvH
Groundhog Day	Eminem	The Marshall Mathers LP2 (Deluxe)	spotify:track:3fCRPhzGYSd4y6K1qjFcIp
Mountain Sound	Of Monsters and Men	My Head Is An Animal	spotify:track:60ZGteAEtPCnGE6zevgUcd
Love Game	Eminem, Kendrick Lamar	The Marshall Mathers LP2 (Deluxe)	spotify:track:0iMN420Q45isZVNlAqzPTW
Die Alone	Eminem, Kobe	SHADYXV	spotify:track:2gsWiAyssTMQS31PJ2Ih1K
Fine Line	Eminem	SHADYXV	spotify:track:5N7h72XMEpidf5hiCYNG8q
Recess	Skrillex	Recess	spotify:track:1RJZLVGpBG9nNZiHRQSWTp
Right For Me	Eminem	SHADYXV	spotify:track:1IvT7j6I7SLojFxBTfNNG9
Sanctified	Rick Ross, Kanye West, Big Sean	Mastermind (Deluxe)	spotify:track:39RWgrQOBCLQH88wy0TBm9
Rich As Fuck	Lil Wayne, 2 Chainz	I Am Not A Human Being II (Deluxe)	spotify:track:3Eq7yD58dIXqOgw1j7NFhY
